author,date,id_article,text
João Carlos Fávaro,± 27 minutos,,Manchete tendenciosa.
Freitas,± 0 minutos,,"Agora, quando o STF se vê acuado pela opinião pública, esse cara vem falar em diálogo? "
Vera Lucia Broetto,± 0 minutos,,"Só vergonha nesse Brasil.
 Quando atendem a interesses próprios há uma rapidez fenomenal em aprovar qualquer projeto.
Triste nosso Brasil!"
Svetlana Yurievna Tchekov,± 0 minutos,,"Tem que aproveitar e revisar livros de geografia, estabelecendo a planura da Terra. Tirar Darwin da biologia e colocar Adão e Eva, Noé, e outras verdades dogmáticas. Apagar qualquer referência ao aquecimento global. E disseminar que os nazistas erm comunistas muito bem disfarçados."
KIDELMIR,± 0 minutos,,"Interessante, o indivíduo, em 2011 a 2014 era motorista do Luis Abi e, agora,  foi exonerado do Tribunal de Contas, onde era assessor de Conselheiro, com salário em torno de R$ 16.000,00. "
CELSO,± 0 minutos,,"Uma coisa é clara. Estes de****dos não são sérios. Tudo uma grande bagunça e ninguém quer que nada vá pra frente. Não conseguem ter uma discussão educada, séria e com resultados"
claudio luiz da cunha,± 0 minutos,,Gazetinha falida...... Patrocinada pelo Bozo com aval do Alexandre Gracinha...kkk
Afonso Celso Frega Beraldi,± 2 horas,,"Nao se preocupem, comunas da UERJ/Psol. Resistiremos a voces tambem"
EDUARDO APEL,± 0 minutos,,Essas são as otoridades que nos fazem cumprir a lei ? como os tempos mudaram não é mesmo? e aí vai pedir providencias ? é pra acabar......................
Waldemiro,± 0 minutos,,Região m etropolitana de c uritiba.....outra coisa que não deu certo no p arana.
ELIANA T,± 0 minutos,,"Chega de mal tratos a esses cães, onde sabemos que no Canil só servem para reproduzir em condições lastimáveis! Em vez de comprar, devemos Adotar! "
Vlamir Mosson,± 0 minutos,,"""Julgar os outros é perigoso. Não tanto pelos erros que podemos cometer a respeito deles, mas pelo que podemos revelar a respeito de nós.""
Philemon"
Luiz Schuwinski,± 14 horas,,"Homossexualidade é uma doença. Psíquica, comportamental, social ou espiritual. Os atingidos que se enquadrem nos quesitos citados. "
JOSE DE PAULA,± 0 minutos,,O DONO TEM QUE TER CONCIENCIA  E RESPEITO COM O PROXIMO......ESTE CACHORRO É DE GUARDA E PODE ATÉ MATAR...GRAÇAS A DEUS NÃO MATOU NINGUEM....O DONO TEM QUE SER RESPONSAVEL ...ELE SABE DO PERIGO DE DEIXAR SOLTO.....
Gilvan Alves,± 3 horas,,Tem que estudar como petistas conseguem viver sem cérebro.
CARLOS AUGUSTO BUSSOLA,± 0 minutos,,"Tem esse item na Constituição? O Paraná deve ser de outro país, porque aqui os Funcionários Públicos aposentados não recebem um centavo a título de Correção Monetária já faz uns 3 anos. Se precisar de Lei Ordinária aqui tem, mas obedece se o Governador quiser."
rafael silva,± 39 minutos,,Essa Família é Sinistra.
Afonso Celso Frega Beraldi,± 18 horas,,"Ai, porque os muculmanos nao vao comprar mais galinha do Brasil. Ai, porque vamos ter terrorismo no Brasil. Ai, porque o embaixador da Palestina quer explicações. Mimimi. So sabem ficar criticando sem ao menos saber o que esta sendo feito. Atacar primeiro, discutir depois. "
Diz,± 28 minutos,,"Tem que rever isso aí, viu? A corrupção não pode vencer."
PAULO C.P.,± 1 horas,,Se nesse pacote estiver incluído sua renúncia daí acredito que dará certo.
Luca,± 0 minutos,,"Se não aprovar uma reforma boa, tem que cortar o salário dos servidores, infelizmente é a realidade"
MICHAEL GUSTAV ADOLF MULL,± 0 minutos,,"Antes de protestar , estudem História do Brasil..."
Neto,± 6 horas,,O presidente é obrigado a escolher alguém da lista tríplice?
Renê M. P. Mendes,± 8 horas,,"Ué, não era os Estados Unidos que estava sabotando  a energia elétrica da Venezuela? Kkkkk"
joao cesar reinert,± 1 dias,,Nome do filme :SINDICATO DE LADRÕES !
Debora B.,± 8 horas,,"Abriram o bueiro. Os recalcados, apoiadores do político corrupto presidiário,cachaceiro, da Incompetente Dilma, e do poste de presidiário, Malddad,resolveram soltar suas frustrações, querendo criticar um governo, sendo que estão sem moral para isso, pois idolatram corruptos."
Pensador,± 0 minutos,,"Quem tiver a lista dos vereadores que votam a favor dessa Lei, que reduz a qualidade do serviço público, que publique para conhecimento da população. "
ALBERTO JABUR,± 0 minutos,,Ótima iniciativa! Parabéns!
